country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES243,Zaragoza,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,36148,720790,451129,448003
Spain,ES,3,ES300,Madrid,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,3274,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,814,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,1261,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,CN+EP,NA,NA,NA,1506,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,3569,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,208377,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,OTHER,NA,NA,NA,66228,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,PP,PEOPLE'S ALLIANCE-PARTY / PEOPLE'S PARTY,ALIANZA-PARTIDO POPULAR / PARTIDO POPULAR,441,1278583,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,PSOE,SPANISH SOCIALIST WORKERS PARTY,PARTIDO SOCIALISTA OBRERO ESPANOL,1338,954721,4287497,2605318,2591423
Spain,ES,3,ES300,Madrid,EP,1999,VERDES,EUROPE OF THE PEOPLE - THE GREENS,EUROPA DE LOS PUEBLOS - VERDES,1643,22723,4287497,2605318,2591423
Spain,ES,3,ES411,Avila,EP,1999,BNG,GALICIAN NATIONALIST BLOCK,BLOQUE NACIONALISTA GALEGO,1011,40,146727,106788,105608
Spain,ES,3,ES411,Avila,EP,1999,CE,UNITED NATIONAL MOVEMENT,ERTIANI NATSIONALURI MODZRAOBA,2172,23,146727,106788,105608
Spain,ES,3,ES411,Avila,EP,1999,CIU,CONVERGENCE AND UNITY,CONVERGENCIA I UNIO,139,20,146727,106788,105608
Spain,ES,3,ES411,Avila,EP,1999,CN+EP,NA,NA,NA,24,146727,106788,105608
Spain,ES,3,ES411,Avila,EP,1999,HB,UNITED PEOPLE,HERRI BATASUNA,473,78,146727,106788,105608
Spain,ES,3,ES411,Avila,EP,1999,IU-EUIA,UNITED LEFT,IZQUIERDA UNIDA,247,5794,146727,106788,105608
Spain,ES,3,ES411,Avila,EP,1999,OTHER,NA,NA,NA,2811,146727,106788,105608
