,index,election_date,election_type,harmonised_code,harmonised_name,type,name,party_name,votes,nuts3_code,nuts3_name
7754,13,2014-11-02,president_a,RO316,Prahova,2,SZILAGYI ZSOLT,PPMT,396,RO316,Prahova
7755,0,2000-11-26,president_b,RO212,Botosani,0,eligible_voters,eligible_voters,364289,RO212,Botoşani
7756,1,2000-11-26,president_b,RO212,Botosani,1,issued_ballots,issued_ballots,234516,RO212,Botoşani
7757,0,2000-11-26,president_b,RO212,Botosani,2,ION ILIESCU,PDSR-PUR-PSDR,161382,RO212,Botoşani
7758,1,2000-11-26,president_b,RO212,Botosani,2,CORNELIU VADIM TUDOR,PRM,70185,RO212,Botoşani
7759,0,2000-11-26,house,RO121,Alba,0,eligible_voters,eligible_voters,315371,RO121,Alba
7760,1,2000-11-26,house,RO121,Alba,1,issued_ballots,issued_ballots,211911,RO121,Alba
7761,0,2000-11-26,house,RO121,Alba,2,PDSR,,47547,RO121,Alba
7762,1,2000-11-26,house,RO121,Alba,2,PRM,Partidul România Mare,46682,RO121,Alba
7763,2,2000-11-26,house,RO121,Alba,2,CDR,CONVENTIA DEMOCRATA ROMANA 2000,15925,RO121,Alba
7764,3,2000-11-26,house,RO121,Alba,2,ApR,Alianța pentru România,15546,RO121,Alba
7765,4,2000-11-26,house,RO121,Alba,2,PNL,Partidul Național Liberal,13802,RO121,Alba
7766,5,2000-11-26,house,RO121,Alba,2,PD,Partidul Democrat,12407,RO121,Alba
7767,6,2000-11-26,house,RO121,Alba,2,PPU,,10133,RO121,Alba
7768,7,2000-11-26,house,RO121,Alba,2,UDMR,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,9624,RO121,Alba
7769,8,2000-11-26,house,RO121,Alba,2,PUNR,,4017,RO121,Alba
7770,9,2000-11-26,house,RO121,Alba,2,P ROMII,,2950,RO121,Alba
7771,10,2000-11-26,house,RO121,Alba,2,PNL,,2134,RO121,Alba
7772,11,2000-11-26,house,RO121,Alba,2,ECOLOGISTII,Partidul Ecologist Român,1824,RO121,Alba
