"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"P.SEGNI SCOGNAMIGLIO";"8"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"FORZA ITALIA";"69"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"COMUNISTI ITALIANI";"77"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"AB.SCORP.VERDI VERDI";"6"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"ALLEANZA NAZIONALE";"43"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"UNIONE DI CENTRO";"44"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"PARTITO PENSIONATI";"4"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"A.P. UDEUR";"113"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"PRI I LIBERAL SGARBI";"2"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"LISTA EMMA BONINO";"8"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"RIFONDAZIONE COMUNISTA";"63"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"DIPIETRO OCCHETTO";"20"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"LEGA NORD";"1"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"SOCIALISTI UNITI";"46"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"MOV.IDEA SOC. RAUTI";"5"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"UNITI NELL'ULIVO";"411"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"PAESE NUOVO";"0"
"ITALIA MERIDIONALE";"Basilicata ";"Potenza";"RIPACANDIDA";2230;1106;1142;566;97;"ALTERNATIVA SOCIALE";"9"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"PAESE NUOVO";"37"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"LISTA EMMA BONINO";"866"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"RIFONDAZIONE COMUNISTA";"2069"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"LEGA NORD";"355"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"PARTITO PENSIONATI";"414"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"COMUNISTI ITALIANI";"1365"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"ALLEANZA NAZIONALE";"4774"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"DIPIETRO OCCHETTO";"840"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"FED.DEI VERDI";"926"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"ALLEANZA LOMBARDA AUTONOMIA";"52"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"FORZA ITALIA";"7815"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"ALTERNATIVA SOCIALE";"267"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"PRI I LIBERAL SGARBI";"178"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"P.SEGNI SCOGNAMIGLIO";"51"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"A.P. UDEUR";"188"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"FIAMMA TRICOLORE";"352"
"ITALIA CENTRALE";"Marche ";"Pesaro e Urbino";"FANO";51254;24681;40398;19809;2354;"UNITI NELL'ULIVO";"12427"
