,teryt_code,eligible_voters,issued_ballots,KE,LEWICA,POLEXIT,JEDNOSC,PIS,EC,WIOSNA,KONFEDERACJA,KUKIZ15,GWIAZDOWSKI
194,T_1803,107595,48365,9127,333,205,0,32550,0,1415,2685,1594,0
195,T_1804,97568,41896,8428,268,151,0,28170,0,974,2255,1227,0
196,T_1805,92970,41193,7046,250,121,0,29102,0,1120,1987,1214,0
197,T_1806,50239,21044,2694,112,48,0,15518,0,385,1450,615,0
198,T_1807,90711,39139,6999,221,107,0,26824,0,1209,2116,1337,0
199,T_1808,55682,24776,3197,139,55,0,18351,0,440,1589,797,0
200,T_1809,45763,18499,3501,153,90,0,12547,0,534,865,583,0
201,T_1810,63963,29957,4422,261,77,0,21378,0,700,1890,1024,0
202,T_1811,107963,49241,10530,334,125,0,32934,0,1305,2270,1337,0
203,T_1812,54394,21914,3106,124,76,0,15575,0,668,1451,684,0
204,T_1813,60187,23076,4259,165,77,0,15539,0,531,1327,877,0
205,T_1814,63576,26147,4518,182,76,0,18417,0,531,1284,889,0
206,T_1815,58754,27140,3563,148,73,0,20087,0,544,1625,836,0
207,T_1816,132355,63332,10047,432,194,0,44608,0,1459,3754,2291,0
208,T_1817,76145,30709,8255,203,96,0,18507,0,947,1546,891,0
209,T_1818,84696,36228,8435,221,123,0,22116,0,1312,2551,1185,0
210,T_1819,49807,21384,2823,143,76,0,15239,0,712,1463,720,0
211,T_1820,43745,17837,3425,136,66,0,11970,0,487,963,601,0
212,T_1821,23069,9785,2716,70,32,0,5790,0,348,473,267,0
213,T_1861,37614,17626,5991,122,37,0,8617,0,1079,1131,556,0
214,T_1862,49106,20698,7395,178,101,0,9786,0,785,1346,978,0
215,T_1863,147686,77421,29122,802,225,0,34160,0,3870,5464,3395,0
216,T_1864,37695,16726,6576,146,76,0,7562,0,855,904,497,0
217,T_2001,46698,17075,4835,203,0,0,10021,0,577,683,618,0
218,T_2002,118547,51379,15380,584,0,0,28101,0,1861,2906,2093,0
219,T_2003,45551,17079,4862,351,0,0,9807,0,826,624,458,0
220,T_2004,38035,13412,3158,140,0,0,8416,0,371,792,375,0
