,teryt_code,eligible_voters,issued_ballots,SLDUP,AWSP,UW,SAMOOBRONA,PIS,PSL,PO,ARS,PWN,LPR,MN,PUG,PPS,NMNGSL
320,T_2862,128177,64473,30370,2422,3354,3476,6413,2384,8473,154,0,5571,0,0,126,0
321,T_3004,55822,29000,12697,1269,287,3867,704,3660,2348,85,0,1960,0,41,0,0
322,T_3006,52885,26336,11624,1130,421,2560,748,3293,3085,70,0,1445,0,49,0,0
323,T_3007,59695,26989,9562,670,209,6044,577,4565,1465,114,0,2033,0,55,0,0
324,T_3008,40811,20687,7988,1070,254,2530,891,2134,2728,62,0,1691,0,46,0,0
325,T_3011,57865,28385,12648,876,600,3640,1211,2681,2498,108,0,1812,0,53,0,0
326,T_3012,57455,29875,11965,742,688,3608,958,4693,3166,93,0,1743,0,47,0,0
327,T_3013,35081,17789,7526,455,288,2855,519,1921,1297,59,0,1390,0,35,0,0
328,T_3017,120038,61862,28815,3002,979,6840,2872,6285,5499,186,0,3988,0,94,0,0
329,T_3018,40360,19372,7050,474,222,3007,558,4189,1027,55,0,1389,0,40,0,0
330,T_3020,46569,22048,9238,598,417,3023,949,2880,1820,89,0,1349,0,49,0,0
331,T_3022,44959,21920,10094,613,337,2478,592,2801,1701,82,0,1385,0,40,0,0
332,T_3061,84535,43342,22727,1542,1130,2785,2414,1742,5546,194,0,3688,0,46,0,0
333,T_3063,48919,24812,13162,648,890,1328,1166,1038,3272,64,0,2259,0,30,0,0
