,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
286,T_2475,142804,95145,442,5595,4708,4400,599,174,10562,22084,1168,1318,38625,93,5078
287,T_2476,33761,20404,110,976,1084,1203,114,38,2791,4967,231,308,7297,21,1164
288,T_2477,89960,63134,312,2782,3105,3437,471,70,8480,16456,712,920,22792,53,3342
289,T_2478,115861,66675,286,3210,3489,3666,435,117,10190,16004,873,921,23523,71,3607
290,T_2479,45499,30707,156,1172,1646,1469,211,41,5528,9017,298,402,9230,28,1368
291,T_2601,56826,35638,148,1034,2784,1419,259,69,4882,15448,293,282,7825,24,1015
292,T_2602,64770,41156,171,1076,3292,1534,293,63,6566,18559,289,314,7506,37,1300
293,T_2603,26005,14780,54,395,1116,744,82,28,2469,6549,106,89,2653,6,434
294,T_2604,164693,109687,440,2777,10097,4586,893,162,17981,47592,853,1219,18671,91,3841
295,T_2605,60500,38427,220,1262,2603,1658,358,73,5083,16850,317,453,8225,24,1133
296,T_2606,39319,23503,109,660,2078,871,149,64,3960,10731,216,172,3701,33,616
297,T_2607,78585,46933,199,1813,3687,1872,339,102,5796,16740,368,470,13788,38,1500
298,T_2608,30401,18064,62,555,1532,655,139,38,2794,7588,145,151,3800,12,510
299,T_2609,58379,35892,162,997,3079,1498,280,68,5406,14595,307,292,8055,20,969
300,T_2610,54087,34160,172,1226,2400,1478,319,57,4358,11673,323,430,10392,22,1172
301,T_2611,65971,41493,222,1269,3349,1638,364,107,5759,15823,332,448,10712,46,1252
302,T_2612,54585,33858,122,791,2900,1087,249,85,5271,15931,227,286,5748,39,977
303,T_2613,34972,22605,77,588,1952,787,159,38,3772,10364,148,185,3692,18,734
304,T_2661,140631,97622,468,3840,6054,4918,819,167,11091,27708,1072,1244,35554,86,4296
