,teryt_code,eligible_voters,issued_ballots,PO,LEWICA,TD,KONFEDERACJA,NK,POLEXIT,PLSP,PIS,RNP,BSNPWNE,GSP
42,T_0413,30350,9350,4005,224,501,1071,0,27,32,3310,0,90,0
43,T_0414,72988,22261,8943,695,1736,2607,0,87,119,7633,0,251,0
44,T_0415,84161,29693,13041,1102,2101,3821,0,118,61,8976,0,280,0
45,T_0416,36746,12182,4125,329,1131,1371,0,33,43,4922,0,129,0
46,T_0417,25269,7529,2159,217,1550,984,0,35,14,2444,0,64,0
47,T_0418,67146,19387,5391,1237,2174,2240,0,42,56,7912,0,154,0
48,T_0419,53207,17251,7153,509,1061,1963,0,63,49,6117,0,158,0
49,T_0461,242295,107402,56776,5617,6587,9179,0,235,176,27576,0,817,0
50,T_0462,63803,22900,11383,1189,2023,1827,0,56,88,6059,0,148,0
51,T_0463,141949,64724,35297,3179,3211,5706,0,138,112,16402,0,489,0
52,T_0464,79684,28440,13160,3925,966,2106,0,57,32,7833,0,183,0
53,T_0601,85906,30398,5766,783,2038,4732,0,96,0,16413,0,335,0
54,T_0602,79044,29636,4906,579,3057,5130,0,85,0,15497,0,208,0
55,T_0603,60266,18764,4461,739,899,3270,0,66,0,9000,0,184,0
56,T_0604,49009,15054,3191,378,1375,2317,0,55,0,7441,0,184,0
57,T_0605,35544,14954,1566,634,388,2655,0,29,0,9524,0,83,0
58,T_0606,49840,16281,4270,466,914,2494,0,65,0,7695,0,260,0
59,T_0607,73045,26928,5161,908,1753,3775,0,65,0,14858,0,221,0
60,T_0608,68653,25171,5115,615,1565,4496,0,74,0,12853,0,285,0
61,T_0609,124473,49381,12169,1327,3135,9176,0,149,0,22554,0,642,0
62,T_0610,43493,15797,3887,316,684,2803,0,71,0,7673,0,286,0
63,T_0611,80433,30599,4360,972,1728,5506,0,92,0,17434,0,298,0
64,T_0612,46220,15615,3098,314,1156,2594,0,41,0,8163,0,129,0
65,T_0613,26867,9512,1970,235,802,1539,0,37,0,4733,0,131,0
66,T_0614,89250,36080,11373,1113,2052,5137,0,111,0,15677,0,427,0
67,T_0615,45664,16372,2411,288,1483,2851,0,36,0,8963,0,244,0
68,T_0616,42660,16856,3256,510,2257,2155,0,57,0,8326,0,177,0
69,T_0617,55311,21632,5886,701,1708,2964,0,75,0,9951,0,251,0
70,T_0618,65080,22552,4052,450,1451,3096,0,66,0,13018,0,255,0
71,T_0619,30204,10779,2606,413,1770,1292,0,28,0,4457,0,109,0
72,T_0620,84519,29345,4300,528,2599,4999,0,116,0,15666,0,909,0
73,T_0661,42611,17920,6652,473,669,2063,0,40,0,7817,0,137,0
74,T_0662,46822,18317,6865,1404,910,1975,0,64,0,6925,0,111,0
75,T_0663,251294,116389,48269,5609,6203,14442,0,300,0,40011,0,1226,0
76,T_0664,47558,18265,5412,626,2417,2081,0,46,0,7370,0,250,0
77,T_0801,55395,19418,8444,1579,910,2004,0,62,0,6007,0,251,0
78,T_0802,41119,13012,5549,1217,781,1111,0,28,0,4061,0,145,0
79,T_0803,43493,14371,6192,1380,837,1316,0,31,0,4341,0,166,0
